section,feature,python,rust,rust_mlx,notes,deprecated
CUDA Compute Kernels,BitsAndBytes NF4 dequant,yes,yes,,Dequant-then-cuBLAS; double quantization supported; shared dequant scratch buffer,
CUDA Compute Kernels,Embedding gather,no,yes,,Vectorized CUDA kernel,
CUDA Compute Kernels,Split QKV,no,yes,,Separates fused QKV tensor on GPU,
CUDA Compute Kernels,Fused QKV + RoPE,no,yes,,Combined split+rotary in one launch,
CUDA Compute Kernels,Apply penalties (fused rep/freq/pres),yes,yes,,One block per request; no CPU fallback,
CUDA Compute Kernels,Apply logit bias (CSR scatter-add),yes,yes,,Sparse CSR-packed; rebuilt only on batch change,
CUDA Compute Kernels,Apply grammar mask (CSR allow-list),yes,yes,,Shared with allowed_token_ids,
CUDA Compute Kernels,Log-softmax + top-K (fused logprobs),yes,yes,,Single kernel for logprob extraction from raw logits,
CUDA Compute Kernels,Apply min_tokens (suppress EOS),yes,yes,,Scatter -inf to EOS/stop tokens,
CUDA Compute Kernels,Cast to f32,yes,yes,,,
CUDA Compute Kernels,MoE align block size,yes,yes,,Small + large batch paths (ported from Python vLLM); gap: no token_mask support (not used by Mixtral/Qwen MoE),
CUDA Compute Kernels,MoE sum (reduction),yes,yes,,,
CUDA Compute Kernels,Sigmoid-mul-add (shared expert gate),yes,yes,,Vectorized 128-bit loads,
CUDA Compute Kernels,QK-norm + RoPE (fused),no,yes,,Per-head RMS norm + NeoX RoPE; Qwen3 MoE / Gemma3,
CUDA Compute Kernels,MLA CUDA kernels (DeepSeek),yes,yes,,6 fused kernels for non-absorbed MLA + YaRN RoPE,
CUDA Compute Kernels,Fused recurrent GDN kernel,no,yes,,Qwen3-Next gated delta rule (fused_recurrent_gated_delta_rule),
CUDA Compute Kernels,QKVZ grouped-head split,no,yes,,Eliminates 8 CPU round-trips per GDN layer,
CUDA Compute Kernels,Conv output split,no,yes,,Eliminates 3 CPU round-trips per GDN layer,
CUDA Compute Kernels,FP8 GEMM,yes,partial,,SM89 fused CUTLASS 2.x cutlass_scaled_mm with Epilogue Visitor Tree (ScaledEpilogue: VisitorColOrScalarBroadcast for per-row/per-tensor scale_a + VisitorRowOrScalarBroadcast for per-tensor scale_b); 18 tile configs (M16/M32/M64/M128/M256/default × N-range sub-dispatch) matching Python exactly; cublasLt FP8 GEMM fallback; dynamic per-token scaled_fp8_quant kernel. TODO: SM90+ Hopper CUTLASS 3.x c3x kernels (scaled_mm_c3x.cu — CollectiveMainloop/CollectiveEpilogue with TMA; completely different codegen from c2x); SM100/SM120 Blackwell kernels (scaled_mm_c3x_sm100.cu); block-scaled FP8 GEMM kernel (cutlass_block_fp8 / deep_gemm for DeepSeek-V3 weight_block_size); ScaledEpilogueBias variants (bias fused into CUTLASS epilogue); ScaledEpilogueAZP variants (asymmetric zero-point for INT8); INT8 data type support in cutlass_scaled_mm; FP8 E5M2 data type,
CUDA Compute Kernels,Prefix caching hash kernel,yes,no,,,
CUDA Compute Kernels,Custom all-reduce,yes,no,,,
Observability & Operations,Prometheus metrics endpoint,yes,yes,,,
Observability & Operations,Request latency metrics (TTFT / ITL),yes,yes,,,
Observability & Operations,KV cache utilization gauge,yes,yes,,,
Observability & Operations,Token throughput counters,yes,yes,,,
Observability & Operations,Queue depth metrics,yes,yes,,,
Observability & Operations,OpenTelemetry tracing,yes,yes,,`--features otel --otlp-traces-endpoint`; OTLP/gRPC export via tracing-opentelemetry,
Observability & Operations,`collect-env` diagnostic dump,yes,yes,,Rust version reports system/GPU/toolchain/features,
Observability & Operations,Live stats SSE stream,no,yes,,Rust-only: `/stats/live`,
Observability & Operations,TUI dashboard (`vllm top`),no,yes,,Rust-only,
Engine & Architecture,Async engine (non-blocking),yes,yes,,,
Engine & Architecture,In-process engine client,yes,yes,,,
Engine & Architecture,Single-worker executor,yes,yes,,,
Engine & Architecture,Multi-worker executor,yes,yes,,Rust: tokio channels,
Engine & Architecture,Ray executor (distributed),yes,no,,Ray is a Python-native library with no Rust client; replaced by lightweight Rust launcher + NCCL rendezvous,wontfix
Engine & Architecture,External launcher executor,yes,yes,,--distributed-executor-backend external_launcher; TCP store for NCCL ID exchange + memory allreduce; one CudaWorker per process,
Engine & Architecture,PyO3 scheduler bridge,na,yes,,Rust scheduler usable from Python,
Engine & Architecture,Offline `LLM` API (programmatic),yes,yes,,Python: `LLM` class; Rust: `LLM` struct,
Engine & Architecture,HuggingFace tokenizers,yes,yes,,Same `tokenizers` library,
Engine & Architecture,HuggingFace Hub model download,yes,yes,,,
Engine & Architecture,Standalone binary (no Python),na,yes,,Rust-only,
